"STATISTIC","Statistic Label","TLIST(A1)","Year","C03151V03803","Type of Dwelling","C03440V04149","Energy Rating","UNIT","VALUE"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","13","A - B","Mean kilowatt-hours","4063"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","07","C","Mean kilowatt-hours","6211"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","08","D","Mean kilowatt-hours","5923"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","09","E","Mean kilowatt-hours","5376"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","10","F- G","Mean kilowatt-hours","4713"
"DBEREL01C01","Household Electricity Consumption","2018","2018","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4584"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","13","A - B","Mean kilowatt-hours","7959"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","07","C","Mean kilowatt-hours","8244"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","08","D","Mean kilowatt-hours","6313"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","09","E","Mean kilowatt-hours","5818"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","10","F- G","Mean kilowatt-hours","4366"
"DBEREL01C01","Household Electricity Consumption","2018","2018","08","Detached house","-","All BER ratings","Mean kilowatt-hours","7141"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","13","A - B","Mean kilowatt-hours","5730"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","07","C","Mean kilowatt-hours","5880"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","08","D","Mean kilowatt-hours","5722"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","09","E","Mean kilowatt-hours","5328"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","10","F- G","Mean kilowatt-hours","4356"
"DBEREL01C01","Household Electricity Consumption","2018","2018","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","13","A - B","Mean kilowatt-hours","4142"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","07","C","Mean kilowatt-hours","5210"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","08","D","Mean kilowatt-hours","5121"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","09","E","Mean kilowatt-hours","4860"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","10","F- G","Mean kilowatt-hours","4068"
"DBEREL01C01","Household Electricity Consumption","2019","2019","01","Apartment","-","All BER ratings","Mean kilowatt-hours","4926"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","3495"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","07","C","Mean kilowatt-hours","5777"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","08","D","Mean kilowatt-hours","5367"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","09","E","Mean kilowatt-hours","4803"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","3790"
"DBEREL01C01","Household Electricity Consumption","2019","2019","11","Mid-terrace house","-","All BER ratings","Mean kilowatt-hours","4343"
"DBEREL01C01","Household Electricity Consumption","2019","2019","10","End of terrace house","13","A - B","Mean kilowatt-hours","3577"
"DBEREL01C01","Household Electricity Consumption","2019","2019","10","End of terrace house","07","C","Mean kilowatt-hours","5562"
"DBEREL01C01","Household Electricity Consumption","2019","2019","10","End of terrace house","08","D","Mean kilowatt-hours","5854"
"DBEREL01C01","Household Electricity Consumption","2019","2019","10","End of terrace house","09","E","Mean kilowatt-hours","5241"
"DBEREL01C01","Household Electricity Consumption","2019","2019","10","End of terrace house","10","F- G","Mean kilowatt-hours","4385"
"DBEREL01C01","Household Electricity Consumption","2019","2019","10","End of terrace house","-","All BER ratings","Mean kilowatt-hours","4381"
"DBEREL01C01","Household Electricity Consumption","2019","2019","09","Semi-detached house","13","A - B","Mean kilowatt-hours","3918"
"DBEREL01C01","Household Electricity Consumption","2019","2019","09","Semi-detached house","07","C","Mean kilowatt-hours","5723"
"DBEREL01C01","Household Electricity Consumption","2019","2019","09","Semi-detached house","08","D","Mean kilowatt-hours","5306"
"DBEREL01C01","Household Electricity Consumption","2019","2019","09","Semi-detached house","09","E","Mean kilowatt-hours","5087"
"DBEREL01C01","Household Electricity Consumption","2019","2019","09","Semi-detached house","10","F- G","Mean kilowatt-hours","4386"
"DBEREL01C01","Household Electricity Consumption","2019","2019","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4271"
"DBEREL01C01","Household Electricity Consumption","2019","2019","08","Detached house","13","A - B","Mean kilowatt-hours","7342"
"DBEREL01C01","Household Electricity Consumption","2019","2019","08","Detached house","07","C","Mean kilowatt-hours","7659"
"DBEREL01C01","Household Electricity Consumption","2019","2019","08","Detached house","08","D","Mean kilowatt-hours","5904"
"DBEREL01C01","Household Electricity Consumption","2019","2019","08","Detached house","09","E","Mean kilowatt-hours","5497"
"DBEREL01C01","Household Electricity Consumption","2019","2019","08","Detached house","10","F- G","Mean kilowatt-hours","4134"
"DBEREL01C01","Household Electricity Consumption","2019","2019","08","Detached house","-","All BER ratings","Mean kilowatt-hours","6691"
"DBEREL01C01","Household Electricity Consumption","2019","2019","-","All dwellings","13","A - B","Mean kilowatt-hours","5245"
"DBEREL01C01","Household Electricity Consumption","2019","2019","-","All dwellings","07","C","Mean kilowatt-hours","5354"
"DBEREL01C01","Household Electricity Consumption","2019","2019","-","All dwellings","08","D","Mean kilowatt-hours","5215"
"DBEREL01C01","Household Electricity Consumption","2019","2019","-","All dwellings","09","E","Mean kilowatt-hours","4949"
"DBEREL01C01","Household Electricity Consumption","2019","2019","-","All dwellings","10","F- G","Mean kilowatt-hours","4098"
"DBEREL01C01","Household Electricity Consumption","2019","2019","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
"DBEREL01C01","Household Electricity Consumption","2020","2020","01","Apartment","13","A - B","Mean kilowatt-hours","4168"
"DBEREL01C01","Household Electricity Consumption","2020","2020","01","Apartment","07","C","Mean kilowatt-hours","5740"
"DBEREL01C01","Household Electricity Consumption","2020","2020","01","Apartment","08","D","Mean kilowatt-hours","5607"
"DBEREL01C01","Household Electricity Consumption","2020","2020","01","Apartment","09","E","Mean kilowatt-hours","5290"
"DBEREL01C01","Household Electricity Consumption","2020","2020","01","Apartment","10","F- G","Mean kilowatt-hours","4398"
"DBEREL01C01","Household Electricity Consumption","2020","2020","01","Apartment","-","All BER ratings","Mean kilowatt-hours","5347"
"DBEREL01C01","Household Electricity Consumption","2020","2020","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","3970"
"DBEREL01C01","Household Electricity Consumption","2020","2020","11","Mid-terrace house","07","C","Mean kilowatt-hours","6279"
"DBEREL01C01","Household Electricity Consumption","2020","2020","11","Mid-terrace house","08","D","Mean kilowatt-hours","5900"
"DBEREL01C01","Household Electricity Consumption","2020","2020","11","Mid-terrace house","09","E","Mean kilowatt-hours","5158"
"DBEREL01C01","Household Electricity Consumption","2020","2020","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","4088"
"DBEREL01C01","Household Electricity Consumption","2020","2020","11","Mid-terrace house","-","All BER ratings","Mean kilowatt-hours","4726"
"DBEREL01C01","Household Electricity Consumption","2020","2020","10","End of terrace house","13","A - B","Mean kilowatt-hours","4099"
"DBEREL01C01","Household Electricity Consumption","2020","2020","10","End of terrace house","07","C","Mean kilowatt-hours","6356"
"DBEREL01C01","Household Electricity Consumption","2020","2020","10","End of terrace house","08","D","Mean kilowatt-hours","6441"
"DBEREL01C01","Household Electricity Consumption","2020","2020","10","End of terrace house","09","E","Mean kilowatt-hours","5754"
"DBEREL01C01","Household Electricity Consumption","2020","2020","10","End of terrace house","10","F- G","Mean kilowatt-hours","4656"
"DBEREL01C01","Household Electricity Consumption","2020","2020","10","End of terrace house","-","All BER ratings","Mean kilowatt-hours","4784"
"DBEREL01C01","Household Electricity Consumption","2020","2020","09","Semi-detached house","13","A - B","Mean kilowatt-hours","4591"
"DBEREL01C01","Household Electricity Consumption","2020","2020","09","Semi-detached house","07","C","Mean kilowatt-hours","6200"
"DBEREL01C01","Household Electricity Consumption","2020","2020","09","Semi-detached house","08","D","Mean kilowatt-hours","5878"
"DBEREL01C01","Household Electricity Consumption","2020","2020","09","Semi-detached house","09","E","Mean kilowatt-hours","5507"
"DBEREL01C01","Household Electricity Consumption","2020","2020","09","Semi-detached house","10","F- G","Mean kilowatt-hours","4682"
"DBEREL01C01","Household Electricity Consumption","2020","2020","09","Semi-detached house","-","All BER ratings","Mean kilowatt-hours","4826"
"DBEREL01C01","Household Electricity Consumption","2020","2020","08","Detached house","13","A - B","Mean kilowatt-hours","8325"
"DBEREL01C01","Household Electricity Consumption","2020","2020","08","Detached house","07","C","Mean kilowatt-hours","8549"
"DBEREL01C01","Household Electricity Consumption","2020","2020","08","Detached house","08","D","Mean kilowatt-hours","6404"
"DBEREL01C01","Household Electricity Consumption","2020","2020","08","Detached house","09","E","Mean kilowatt-hours","5890"
"DBEREL01C01","Household Electricity Consumption","2020","2020","08","Detached house","10","F- G","Mean kilowatt-hours","4446"
"DBEREL01C01","Household Electricity Consumption","2020","2020","08","Detached house","-","All BER ratings","Mean kilowatt-hours","7592"
"DBEREL01C01","Household Electricity Consumption","2020","2020","-","All dwellings","13","A - B","Mean kilowatt-hours","5850"
"DBEREL01C01","Household Electricity Consumption","2020","2020","-","All dwellings","07","C","Mean kilowatt-hours","5900"
"DBEREL01C01","Household Electricity Consumption","2020","2020","-","All dwellings","08","D","Mean kilowatt-hours","5714"
"DBEREL01C01","Household Electricity Consumption","2020","2020","-","All dwellings","09","E","Mean kilowatt-hours","5373"
"DBEREL01C01","Household Electricity Consumption","2020","2020","-","All dwellings","10","F- G","Mean kilowatt-hours","4412"
"DBEREL01C01","Household Electricity Consumption","2020","2020","-","All dwellings","-","All BER ratings","Mean kilowatt-hours",""
"DBEREL01C01","Household Electricity Consumption","2021","2021","01","Apartment","13","A - B","Mean kilowatt-hours","3807"
"DBEREL01C01","Household Electricity Consumption","2021","2021","01","Apartment","07","C","Mean kilowatt-hours","5572"
"DBEREL01C01","Household Electricity Consumption","2021","2021","01","Apartment","08","D","Mean kilowatt-hours","5482"
"DBEREL01C01","Household Electricity Consumption","2021","2021","01","Apartment","09","E","Mean kilowatt-hours","5195"
"DBEREL01C01","Household Electricity Consumption","2021","2021","01","Apartment","10","F- G","Mean kilowatt-hours","4302"
"DBEREL01C01","Household Electricity Consumption","2021","2021","01","Apartment","-","All BER ratings","Mean kilowatt-hours","5153"
"DBEREL01C01","Household Electricity Consumption","2021","2021","11","Mid-terrace house","13","A - B","Mean kilowatt-hours","4014"
"DBEREL01C01","Household Electricity Consumption","2021","2021","11","Mid-terrace house","07","C","Mean kilowatt-hours","6326"
"DBEREL01C01","Household Electricity Consumption","2021","2021","11","Mid-terrace house","08","D","Mean kilowatt-hours","5768"
"DBEREL01C01","Household Electricity Consumption","2021","2021","11","Mid-terrace house","09","E","Mean kilowatt-hours","5063"
"DBEREL01C01","Household Electricity Consumption","2021","2021","11","Mid-terrace house","10","F- G","Mean kilowatt-hours","4043"
"DBEREL01C01","Household Electricity Consumption","2021","2021","11","Mid-terrace house","-","All BER ratings","Mean kilowatt-hours","4645"
"DBEREL01C01","Household Electricity Consumption","2021","2021","10","End of terrace house","13","A - B","Mean kilowatt-hours","4340"
"DBEREL01C01","Household Electricity Consumption","2021","2021","10","End of terrace house","07","C","Mean kilowatt-hours","6201"
"DBEREL01C01","Household Electricity Consumption","2021","2021","10","End of terrace house","08","D","Mean kilowatt-hours","6447"
"DBEREL01C01","Household Electricity Consumption","2021","2021","10","End of terrace house","09","E","Mean kilowatt-hours","5708"
"DBEREL01C01","Household Electricity Consumption","2021","2021","10","End of terrace house","10","F- G","Mean kilowatt-hours","4663"
"DBEREL01C01","Household Electricity Consumption","2021","2021","10","End of terrace house","-","All BER ratings","Mean kilowatt-hours","4838"
"DBEREL01C01","Household Electricity Consumption","2021","2021","09","Semi-detached house","13","A - B","Mean kilowatt-hours","4757"
"DBEREL01C01","Household Electricity Consumption","2021","2021","09","Semi-detached house","07","C","Mean kilowatt-hours","6311"
"DBEREL01C01","Household Electricity Consumption","2021","2021","09","Semi-detached house","08","D","Mean kilowatt-hours","5906"
"DBEREL01C01","Household Electricity Consumption","2021","2021","09","Semi-detached house","09","E","Mean kilowatt-hours","5430"
